volume,day,type,tx_count,avg_volume,min_volume,max_volume
10024.89,24/03/21,Borrow,3,3341.62855221456,3185.07175216666,6839.81390447701
17112.43,24/03/21,Close Borrow,2,8556.21581416271,6931.26009578727,10181.1715325382
28349.32,24/03/21,Close Margin Trade,4,7087.33034651295,1078.8492521,27270.4721339518
44.11,24/03/21,Increase Margin,1,44.1134597856066,44.1134597856066,44.1134597856066
531.78,24/03/21,Lend,6,88.629932282549,12.24600369,519.533590005294
39119.01,24/03/21,Margin Trade,11,3556.27378678718,1341.42307506,37777.588579599
65074.43,24/03/21,Spot Trade,37,1758.76838323831,2596.26339432,31524.3143128574
2408.62,24/03/21,UnLend,4,602.154378110566,2408.61751244226,2408.61751244226
26270.58,23/03/21,Borrow,4,6567.64615215606,26270.5846086242,26270.5846086242
46853.79,23/03/21,Close Borrow,5,9370.75866173627,4572.73068603112,42281.0626226502
35332.35,23/03/21,Close Margin Trade,6,5888.72550950724,35332.3530570435,35332.3530570435
6028.2,23/03/21,Lend,4,1507.05024658385,6028.20098633538,6028.20098633538
13585.69,23/03/21,Margin Trade,8,1698.21111398813,109.8146516,13475.874260305
37806.66,23/03/21,Spot Trade,17,2223.92138273936,540.01895,26444.9463727192
448.13,23/03/21,UnLend,1,448.131547197726,448.131547197726,448.131547197726
17982.44,22/03/21,Close Borrow,2,8991.22227055454,7001.79389542011,10980.650645689
17717.16,22/03/21,Close Margin Trade,6,2952.86002971454,2037.62630693,15679.5338713573
1419.72,22/03/21,Lend,1,1419.7205877265,1419.7205877265,1419.7205877265
21211.51,22/03/21,Margin Trade,8,2651.43892717937,1751.99590045,19459.5155169849
43673.87,22/03/21,Spot Trade,29,1505.99565227579,5009.45086,22594.6663184378
2027.76,21/03/21,Lend,5,405.552791378383,5,2022.76395689192
1542.1,21/03/21,Margin Trade,2,771.050332951332,1542.10066590266,1542.10066590266
4692.04,21/03/21,Spot Trade,40,117.300958282534,1944.66761531,2747.37071599136
141.55,20/03/21,Close Borrow,1,141.548114,141.548114,141.548114
892.6,20/03/21,Lend,3,297.53367228159,5.67344399,587.839168624769
13616.47,20/03/21,Margin Trade,3,4538.82476851751,13616.4743055525,13616.4743055525
19551.12,20/03/21,Spot Trade,24,814.630039674864,9748.04346687673,9803.07748532
5.61,20/03/21,UnLend,1,5.60871998,5.60871998,5.60871998
84.94,19/03/21,Borrow,1,84.93557004,84.93557004,84.93557004
1649.37,19/03/21,Close Margin Trade,2,824.68482411,1649.36964822,1649.36964822
378.85,19/03/21,Lend,1,378.854192260806,378.854192260806,378.854192260806
3596.56,19/03/21,Margin Trade,2,1798.28242316872,3596.56484633744,3596.56484633744
9820.5,19/03/21,Spot Trade,34,288.838186079756,27.24863909,5538.94034108
820.3,19/03/21,UnLend,3,273.433059017107,820.299177051321,820.299177051321
19867.05,18/03/21,Close Margin Trade,6,3311.17539724684,310.06182316,19556.990560321
7902,18/03/21,Lend,4,1975.49976094436,1703.69058523,6198.30845854744
6275.65,18/03/21,Margin Trade,4,1568.91261704803,1810.91941935,4464.73104884212
35400.16,18/03/21,Spot Trade,58,610.347553746269,3925.07759525,31475.0805220336
1703.81,18/03/21,UnLend,1,1703.81102559,1703.81102559,1703.81102559
7087.44,17/03/21,Close Margin Trade,3,2362.47969867365,1510.91338755,5576.52570847097
202.01,17/03/21,Lend,4,50.5016655186531,202.006662074612,202.006662074612
20757.1,17/03/21,Margin Trade,3,6919.03409170846,20757.1022751254,20757.1022751254
27069.79,17/03/21,Spot Trade,18,1503.87695026934,8958.20158166815,18111.58352318
171.1,16/03/21,Close Margin Trade,7,24.44256854,171.09797978,171.09797978
,16/03/21,Lend,3,,,
,16/03/21,Margin Trade,6,,,
38262.09,16/03/21,Spot Trade,38,1006.89714928184,38262.09167271,38262.09167271
,16/03/21,UnLend,1,,,
,15/03/21,Close Margin Trade,3,,,
,15/03/21,Increase Margin,3,,,
1510.91,15/03/21,Margin Trade,11,137.355762504545,1510.91338755,1510.91338755
31675.22,15/03/21,Spot Trade,44,719.891269970682,31675.21587871,31675.21587871
,14/03/21,Close Margin Trade,4,,,
,14/03/21,Margin Trade,1,,,
162.72,14/03/21,Spot Trade,8,20.33946156625,162.71569253,162.71569253
411.93,13/03/21,Close Margin Trade,6,68.65468173,411.92809038,411.92809038
,13/03/21,Margin Trade,3,,,
9358.76,13/03/21,Spot Trade,16,584.922352565625,9358.75764105,9358.75764105
,12/03/21,Close Margin Trade,4,,,
285.63,12/03/21,Margin Trade,6,47.6050677466667,285.63040648,285.63040648
4108.01,12/03/21,Spot Trade,12,342.33453284,4108.01439408,4108.01439408
5135.79,11/03/21,Close Margin Trade,7,733.684359292857,5135.79051505,5135.79051505
,11/03/21,Lend,2,,,
,11/03/21,Margin Trade,10,,,
29707.77,11/03/21,Spot Trade,20,1485.388427824,29707.76855648,29707.76855648
,11/03/21,UnLend,2,,,
852.44,10/03/21,Close Margin Trade,16,53.277700180625,852.44320289,852.44320289
,10/03/21,Lend,1,,,
5988.23,10/03/21,Margin Trade,9,665.359301993333,5988.23371794,5988.23371794
8830.09,10/03/21,Spot Trade,26,339.61886292,8830.09043592,8830.09043592
405.19,09/03/21,Close Margin Trade,11,36.83530895,405.18839845,405.18839845
,09/03/21,Increase Margin,1,,,
,09/03/21,Lend,3,,,
802.14,09/03/21,Margin Trade,12,66.8451617025,802.14194043,802.14194043
5018.69,09/03/21,Spot Trade,29,173.058319615517,5018.69126885,5018.69126885
1089.16,08/03/21,Close Margin Trade,6,181.526559415,1089.15935649,1089.15935649
,08/03/21,Lend,8,,,
237.31,08/03/21,Margin Trade,7,33.9012379314286,237.30866552,237.30866552
4251.08,08/03/21,Spot Trade,16,265.6923314375,4251.077303,4251.077303
,08/03/21,UnLend,2,,,
,07/03/21,Borrow,1,,,
103.57,07/03/21,Close Margin Trade,6,17.2619243666667,103.5715462,103.5715462
,07/03/21,Increase Margin,1,,,
,07/03/21,Lend,2,,,
952.47,07/03/21,Margin Trade,6,158.744607996667,952.46764798,952.46764798
503.75,07/03/21,Spot Trade,14,35.9820077807143,503.74810893,503.74810893
932.57,06/03/21,Close Margin Trade,5,186.514397838,932.57198919,932.57198919
,06/03/21,Increase Margin,1,,,
261.6,06/03/21,Lend,5,52.319037684,261.59518842,261.59518842
1045.83,06/03/21,Margin Trade,11,95.0753816627273,1045.82919829,1045.82919829
1338.35,06/03/21,Spot Trade,20,66.9176188315,1338.35237663,1338.35237663
261.6,06/03/21,UnLend,2,130.7991217,261.5982434,261.5982434
2073.37,05/03/21,Close Margin Trade,7,296.19587736,2073.37114152,2073.37114152
,05/03/21,Lend,2,,,
735.87,05/03/21,Margin Trade,11,66.8968245990909,735.86507059,735.86507059
14243.22,05/03/21,Spot Trade,45,316.515896013333,14243.2153206,14243.2153206
,05/03/21,UnLend,3,,,
,04/03/21,Lend,1,,,
,04/03/21,Margin Trade,1,,,
557.4,04/03/21,Spot Trade,2,278.697749775,557.39549955,557.39549955
,03/03/21,Close Margin Trade,1,,,
,03/03/21,Lend,1,,,
