Run_ID,Sim_ID,Start,End,Days,Prob_Long,Funds_Init_CC,Funds_Final_CC,DF_Excess,Volume_QC,Volume_CC,Funds_Init_QC,Funds_Final_QC,Profit_CC,Profit_QC,Liquid_Profit_QC,Liquid_Profit_CC,Annualized_Profit_QC,Annualized_Profit_CC,LP_CC_APY,ProfitQC_per_VolumeQC,ProfitCC_per_VolumeCC
8767848996704,7454842870653510515,22-05-15 00:02,22-10-16 00:00,153.0,0.38,1530303.1058244822,1963959.714861548,-115147.65162709914,860819475.7437578,1122053512.8015323,1050000.0,1550249.9904789967,433656.6090370659,500249.99047899665,0.0,0.0,1193406.8400315933,1034540.2764609742,0.13546817396912797,0.0005811322868209678,0.000386484783559312
8767848996704,3293620835396397924,22-05-15 00:02,22-10-16 00:00,153.0,0.38,1530303.1058244822,2166656.5324510676,-773198.6710650106,1491269913.0512023,1942829770.287314,1050000.0,1710248.5572318935,636353.4266265854,660248.5572318935,0.0,0.0,1575102.7672525565,1518098.043913096,0.11585960950825674,0.0004427424917874167,0.0003275394665856282
8767848996704,-7835447509809621882,22-05-15 00:02,22-10-16 00:00,153.0,0.52,1530303.1058244822,1733767.4216276805,-1302433.8346918041,1119323071.9888606,1437994599.3625867,1050000.0,1368547.8925725238,203464.31580319838,318547.8925725238,0.0,0.0,759934.514960596,485388.7272429242,0.07543946572544534,0.0002845897672836444,0.00014149171067359158
8767848996704,-4215701134900830782,22-05-15 00:02,22-10-16 00:00,153.0,0.52,1530303.1058244822,1848592.586702515,-1609819.0978895014,1149400603.898617,1480046231.543143,1050000.0,1459185.042467709,318289.48087803274,409185.04246770893,0.0,0.0,976160.3954295018,759318.042617529,0.14847797753072942,0.00035599863187804723,0.0002150537423051806
8767848996704,-8376923170157943373,22-05-15 00:02,22-10-16 00:00,153.0,0.52,1530303.1058244822,2137128.81070084,268183.1946040031,1091656525.3435812,1399933109.7107146,1050000.0,1686940.8742810832,606825.7048763577,636940.8742810832,211690.18475045028,268183.1946040031,1519499.4713241528,1447656.0933324874,0.1844179231157522,0.0005834627096472642,0.000433467642608834
8767848996704,8573535965746735716,22-05-15 00:02,22-10-16 00:00,153.0,0.64,1530303.1058244822,1743696.8048268503,-1336686.560647618,800649823.3025469,1026995209.5542064,1050000.0,1376385.6430586942,213393.69900236814,326385.6430586942,0.0,0.0,778632.4164472116,509076.47147623776,0.0762315298469042,0.00040765092748338834,0.00020778451254412097
8767848996704,792567555580832025,22-05-15 00:02,22-10-16 00:00,153.0,0.64,1530303.1058244822,1874483.5333721717,-253605.16789352335,868543687.9612767,1109296483.2554767,1050000.0,1479622.0399908263,344180.4275476895,429622.0399908263,0.0,0.0,1024915.3241611215,821084.026502658,0.1378815331764391,0.0004946464362653692,0.0003102691054582772
8767848996704,-3368654479676280566,22-05-15 00:02,22-10-16 00:00,153.0,0.64,1530303.1058244822,2006035.824868357,-2475851.937165704,1359608554.7583213,1736204017.3964436,1050000.0,1583462.733410461,475732.7190438749,533462.7334104611,0.0,0.0,1272639.8542144988,1134917.9245164336,0.07365284558726552,0.00039236494323565606,0.0002740073829326052
8767848996704,227913573603604562,22-06-17 00:05,22-10-17 23:59,122.0,0.38,2744050.636881086,3274367.4492974994,602080.563652453,666771751.5988204,835989511.9115968,1050000.0,2780920.2746883663,530316.8124164133,1730920.2746883663,511347.0227100284,530316.8124164133,5178572.952961096,1586603.5781310727,0.05202331917575537,0.0025959712158439142,0.0006343582124658194
8767848996704,3847659948512395662,22-06-17 00:05,22-10-17 23:59,122.0,0.38,2744050.636881086,3457323.2868318986,1699479.09720626,799177124.8396658,997715397.7246897,1050000.0,2936304.6675063316,713272.6499508126,1886304.6675063316,1443367.5972572768,713272.6499508126,5643452.48885091,2133971.452721693,0.05382781253761838,0.002360308633564518,0.0007149059256551972
